name,created_at,total_pulls,total_releases,updated_at,language,closed_issues_ratio
etcd,2013-07-06T21:57:21Z,8756,237,2024-08-25T20:05:44Z,Go,0.96
go-ethereum,2013-12-26T13:05:46Z,7432,199,2024-08-25T18:45:50Z,Go,0.97
awesome-ios,2014-07-10T16:03:45Z,2223,0,2024-08-25T19:12:53Z,Swift,1.0
Ghost,2013-05-04T11:09:13Z,11156,796,2024-08-25T15:30:52Z,JavaScript,1.0
Magisk,2016-09-08T12:42:53Z,1463,135,2024-08-25T20:23:12Z,C++,1.0
mastodon,2016-02-22T15:01:25Z,15198,250,2024-08-25T20:09:11Z,Ruby,0.66
cypress,2015-03-04T00:46:28Z,6213,345,2024-08-25T18:17:49Z,JavaScript,0.9
dayjs,2018-04-10T09:26:44Z,696,119,2024-08-25T12:44:39Z,JavaScript,0.5
algorithm-visualizer,2016-05-15T00:27:45Z,183,0,2024-08-24T12:41:44Z,JavaScript,0.67
core,2018-06-12T13:49:36Z,2700,223,2024-08-25T19:56:41Z,TypeScript,0.87
segment-anything,2023-03-23T17:03:03Z,16,0,2024-08-25T20:30:39Z,Jupyter Notebook,0.25
